Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
16,9.0,1.0,SAA,0.10145422883804714,N/A,,0.9
16,9.0,1.0,MLP,0.18603743208364765,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 234), ('layer2', 156), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.8337080101473335,0.9
16,9.0,1.0,LGBM,0.17864623760890008,"OrderedDict([('learning_rate', 0.1), ('max_depth', 5), ('min_data_in_leaf', 20), ('n_estimators', 200), ('num_leaves', 31)])",-0.7608555075025574,0.9
16,9.0,1.0,RFW,0.08272659551557926,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.1845919439431457,0.9
16,9.0,1.0,KNNW,0.08944625987474861,"OrderedDict([('n_neighbors', 128)])",0.11835848639160251,0.9
16,9.0,1.0,DTW,0.08767764118939705,"OrderedDict([('max_depth', 4), ('min_samples_split', 32)])",0.13579116224560583,0.9
16,9.0,1.0,GKW,0.09377070409638091,"OrderedDict([('kernel_bandwidth', 3.0)])",0.07573390315677775,0.9
18,9.0,1.0,SAA,0.10959491227328333,N/A,,0.9
18,9.0,1.0,MLP,0.23107273459018407,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 39), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-1.1084257452935997,0.9
18,9.0,1.0,LGBM,0.22134704424247545,"OrderedDict([('learning_rate', 0.01), ('max_depth', -1), ('min_data_in_leaf', 50), ('n_estimators', 200), ('num_leaves', 127)])",-1.0196835751875928,0.9
18,9.0,1.0,RFW,0.0891595663433391,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_split', 16), ('n_estimators', 100)])",0.18646254197445888,0.9
18,9.0,1.0,KNNW,0.09945224245798404,"OrderedDict([('n_neighbors', 32)])",0.09254690391108455,0.9
18,9.0,1.0,DTW,0.10285924229814117,"OrderedDict([('max_depth', 4), ('min_samples_split', 32)])",0.06145969585108335,0.9
18,9.0,1.0,GKW,0.1061352583520297,"OrderedDict([('kernel_bandwidth', 4.5)])",0.03156765081052959,0.9
19,9.0,1.0,SAA,0.10906458237843332,N/A,,0.9
19,9.0,1.0,MLP,0.21051495674826662,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 156), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.9301862452268861,0.9
19,9.0,1.0,LGBM,0.1861808060499908,"OrderedDict([('learning_rate', 0.01), ('max_depth', -1), ('min_data_in_leaf', 50), ('n_estimators', 500), ('num_leaves', 127)])",-0.7070693527618239,0.9
19,9.0,1.0,RFW,0.08993863033251923,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_split', 32), ('n_estimators', 50)])",0.1753635472563465,0.9
19,9.0,1.0,KNNW,0.09523171140638699,"OrderedDict([('n_neighbors', 128)])",0.12683192536371612,0.9
19,9.0,1.0,DTW,0.09537484648602589,"OrderedDict([('max_depth', 8), ('min_samples_split', 64)])",0.12551953708406138,0.9
19,9.0,1.0,GKW,0.09771999237200146,"OrderedDict([('kernel_bandwidth', 3.0)])",0.10401717733689464,0.9
20,9.0,1.0,SAA,0.09093668798023283,N/A,,0.9
20,9.0,1.0,MLP,0.20048819894665876,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 39), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-1.2047009122461052,0.9
20,9.0,1.0,LGBM,0.16939340872429567,"OrderedDict([('learning_rate', 0.1), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 63)])",-0.8627620214309675,0.9
20,9.0,1.0,RFW,0.081339173936703,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 8), ('n_estimators', 10)])",0.10554061574813534,0.9
20,9.0,1.0,KNNW,0.0810274231095759,"OrderedDict([('n_neighbors', 32)])",0.10896883414987502,0.9
20,9.0,1.0,DTW,0.07824677943534246,"OrderedDict([('max_depth', 10), ('min_samples_split', 64)])",0.13954663213211382,0.9
20,9.0,1.0,GKW,0.08924435188798828,"OrderedDict([('kernel_bandwidth', 4.5)])",0.01861004760380558,0.9
21,9.0,1.0,SAA,0.12776897655670327,N/A,,0.9
21,9.0,1.0,MLP,0.21017816635261957,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 234), ('layer2', 39), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.6449859114222731,0.9
21,9.0,1.0,LGBM,0.20486000749583122,"OrderedDict([('learning_rate', 0.1), ('max_depth', -1), ('min_data_in_leaf', 50), ('n_estimators', 200), ('num_leaves', 31)])",-0.6033626707882043,0.9
21,9.0,1.0,RFW,0.0999994603826309,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_split', 32), ('n_estimators', 100)])",0.21734161861857282,0.9
21,9.0,1.0,KNNW,0.10735673113025103,"OrderedDict([('n_neighbors', 32)])",0.15975901174565166,0.9
21,9.0,1.0,DTW,0.10914657451788558,"OrderedDict([('max_depth', 10), ('min_samples_split', 64)])",0.14575057686678083,0.9
21,9.0,1.0,GKW,0.11394708945256758,"OrderedDict([('kernel_bandwidth', 3.0)])",0.10817874163687613,0.9
22,9.0,1.0,SAA,0.10569021924392626,N/A,,0.9
22,9.0,1.0,MLP,0.19639888858946566,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.858250365969907,0.9
22,9.0,1.0,LGBM,0.1965558331992647,"OrderedDict([('learning_rate', 0.1), ('max_depth', 7), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 63)])",-0.8597353152009879,0.9
22,9.0,1.0,RFW,0.08768979970760987,"OrderedDict([('max_depth', 10), ('max_features', 'sqrt'), ('min_samples_split', 64), ('n_estimators', 10)])",0.17031301160207235,0.9
22,9.0,1.0,KNNW,0.09293677011755688,"OrderedDict([('n_neighbors', 128)])",0.12066820579617898,0.9
22,9.0,1.0,DTW,0.10949146885751307,"OrderedDict([('max_depth', 6), ('min_samples_split', 32)])",-0.035965954473173856,0.9
22,9.0,1.0,GKW,0.0994892515605006,"OrderedDict([('kernel_bandwidth', 3.0)])",0.05867115924051791,0.9
16,7.5,2.5,SAA,0.1804143884983535,N/A,,0.75
16,7.5,2.5,MLP,0.1911818417069667,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 234), ('layer2', 39), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.05968178756824294,0.75
16,7.5,2.5,LGBM,0.1787751633413424,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 127)])",0.009085889272218761,0.75
16,7.5,2.5,RFW,0.15013976413720734,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.1678060414866659,0.75
16,7.5,2.5,KNNW,0.16015178403486177,"OrderedDict([('n_neighbors', 32)])",0.11231146602077502,0.75
16,7.5,2.5,DTW,0.16803533820537073,"OrderedDict([('max_depth', 10), ('min_samples_split', 64)])",0.06861454009304668,0.75
16,7.5,2.5,GKW,0.16717082558532095,"OrderedDict([('kernel_bandwidth', 2.5)])",0.07340635646226967,0.75
18,7.5,2.5,SAA,0.19398871885511,N/A,,0.75
18,7.5,2.5,MLP,0.22199204255665575,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 39), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.14435542369070142,0.75
18,7.5,2.5,LGBM,0.21315165738727776,"OrderedDict([('learning_rate', 0.01), ('max_depth', -1), ('min_data_in_leaf', 50), ('n_estimators', 200), ('num_leaves', 31)])",-0.09878377797051474,0.75
18,7.5,2.5,RFW,0.15912229918064105,"OrderedDict([('max_depth', 10), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.17973426434405515,0.75
18,7.5,2.5,KNNW,0.16610417781353445,"OrderedDict([('n_neighbors', 32)])",0.14374310633188148,0.75
18,7.5,2.5,DTW,0.1745155811444174,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.10038283579385388,0.75
18,7.5,2.5,GKW,0.1756895153804925,"OrderedDict([('kernel_bandwidth', 3.0)])",0.09433127649183126,0.75
19,7.5,2.5,SAA,0.19369847535382678,N/A,,0.75
19,7.5,2.5,MLP,0.21002750826391817,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 156), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.08430129808850229,0.75
19,7.5,2.5,LGBM,0.18327421774986258,"OrderedDict([('learning_rate', 0.05), ('max_depth', -1), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 31)])",0.053816931624899644,0.75
19,7.5,2.5,RFW,0.15573795006429658,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 10)])",0.19597740880607417,0.75
19,7.5,2.5,KNNW,0.1679084072495037,"OrderedDict([('n_neighbors', 128)])",0.13314543677854285,0.75
19,7.5,2.5,DTW,0.17092305329228577,"OrderedDict([('max_depth', 8), ('min_samples_split', 16)])",0.11758183444623094,0.75
19,7.5,2.5,GKW,0.17166919253548907,"OrderedDict([('kernel_bandwidth', 3.0)])",0.11372976879708052,0.75
20,7.5,2.5,SAA,0.1674589037887496,N/A,,0.75
20,7.5,2.5,MLP,0.1945961903215874,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 39), ('learning_rate_init', 0.001), ('max_iter', 1000), ('solver', 'adam')])",-0.16205341083010816,0.75
20,7.5,2.5,LGBM,0.16763155215843775,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 200), ('num_leaves', 31)])",-0.0010309894892537308,0.75
20,7.5,2.5,RFW,0.1345482408389451,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_split', 64), ('n_estimators', 10)])",0.19652978853439473,0.75
20,7.5,2.5,KNNW,0.15015027677658277,"OrderedDict([('n_neighbors', 128)])",0.10336044617849505,0.75
20,7.5,2.5,DTW,0.13653895678895042,"OrderedDict([('max_depth', 10), ('min_samples_split', 64)])",0.18464200051616775,0.75
20,7.5,2.5,GKW,0.15022509231671757,"OrderedDict([('kernel_bandwidth', 3.0)])",0.10291367662225115,0.75
21,7.5,2.5,SAA,0.22004264677446378,N/A,,0.75
21,7.5,2.5,MLP,0.21568182431452618,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 234), ('layer2', 39), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.019818078558231922,0.75
21,7.5,2.5,LGBM,0.20570107244010735,"OrderedDict([('learning_rate', 0.01), ('max_depth', 7), ('min_data_in_leaf', 50), ('n_estimators', 500), ('num_leaves', 63)])",0.06517633988040528,0.75
21,7.5,2.5,RFW,0.17473883292379316,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 50)])",0.20588651570395566,0.75
21,7.5,2.5,KNNW,0.1827013396497562,"OrderedDict([('n_neighbors', 32)])",0.1697003179705484,0.75
21,7.5,2.5,DTW,0.1903531961936187,"OrderedDict([('max_depth', 10), ('min_samples_split', 64)])",0.1349258928487429,0.75
21,7.5,2.5,GKW,0.1873322333499665,"OrderedDict([('kernel_bandwidth', 2.5)])",0.14865488078783362,0.75
22,7.5,2.5,SAA,0.1841860850655937,N/A,,0.75
22,7.5,2.5,MLP,0.1984282050423459,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 234), ('layer2', 78), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.0773246251022719,0.75
22,7.5,2.5,LGBM,0.19774802948449735,"OrderedDict([('learning_rate', 0.1), ('max_depth', 5), ('min_data_in_leaf', 100), ('n_estimators', 100), ('num_leaves', 127)])",-0.07363175352836171,0.75
22,7.5,2.5,RFW,0.1503289689838218,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_split', 16), ('n_estimators', 100)])",0.18382016247163535,0.75
22,7.5,2.5,KNNW,0.1592206603496046,"OrderedDict([('n_neighbors', 128)])",0.13554457551501908,0.75
22,7.5,2.5,DTW,0.18662141530895343,"OrderedDict([('max_depth', 4), ('min_samples_split', 32)])",-0.013222118503102065,0.75
22,7.5,2.5,GKW,0.16464039401282027,"OrderedDict([('kernel_bandwidth', 2.5)])",0.1061192600180012,0.75
16,5.0,5.0,SAA,0.22748230631976227,N/A,,0.5
16,5.0,5.0,MLP,0.20018183504307055,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 156), ('layer2', 156), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.12001140536317845,0.5
16,5.0,5.0,LGBM,0.18509666449720227,"OrderedDict([('learning_rate', 0.01), ('max_depth', -1), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 31)])",0.18632500482468417,0.5
16,5.0,5.0,RFW,0.18781657883703765,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 20)])",0.17436840747942917,0.5
16,5.0,5.0,KNNW,0.19796377800686354,"OrderedDict([('n_neighbors', 32)])",0.12976186495755748,0.5
16,5.0,5.0,DTW,0.19937459478750721,"OrderedDict([('max_depth', 6), ('min_samples_split', 64)])",0.1235599901679616,0.5
16,5.0,5.0,GKW,0.20426980205058556,"OrderedDict([('kernel_bandwidth', 2.5)])",0.10204092197196146,0.5
18,5.0,5.0,SAA,0.23819762412660242,N/A,,0.5
18,5.0,5.0,MLP,0.21163360358345257,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 234), ('layer2', 39), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",0.1115209299024369,0.5
18,5.0,5.0,LGBM,0.20292734410261012,"OrderedDict([('learning_rate', 0.01), ('max_depth', -1), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 127)])",0.1480715021962019,0.5
18,5.0,5.0,RFW,0.1888464155762709,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_split', 16), ('n_estimators', 100)])",0.20718598151970347,0.5
18,5.0,5.0,KNNW,0.21049629206858916,"OrderedDict([('n_neighbors', 32)])",0.11629558506129323,0.5
18,5.0,5.0,DTW,0.21673911526355555,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.09008699789399088,0.5
18,5.0,5.0,GKW,0.21260742533768015,"OrderedDict([('kernel_bandwidth', 3.0)])",0.10743263658801672,0.5
19,5.0,5.0,SAA,0.23993342957500358,N/A,,0.5
19,5.0,5.0,MLP,0.21114800055386437,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 234), ('layer2', 156), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",0.11997256519079946,0.5
19,5.0,5.0,LGBM,0.19023131246274247,"OrderedDict([('learning_rate', 0.05), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 127)])",0.2071496131251862,0.5
19,5.0,5.0,RFW,0.19322691261409564,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 64), ('n_estimators', 100)])",0.19466448274273263,0.5
19,5.0,5.0,KNNW,0.21202083432246022,"OrderedDict([('n_neighbors', 32)])",0.11633474877588013,0.5
19,5.0,5.0,DTW,0.2052406034143104,"OrderedDict([('max_depth', 4), ('min_samples_split', 32)])",0.1445935492279875,0.5
